Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703412.610551,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.610862,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.692548,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.692548,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.692548,192.168.1.1,192.168.1.11,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703412.692548,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703412.692548,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703412.692548,192.168.1.1,192.168.1.11,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703414.392826,192.168.1.11,192.168.1.1,accounts.google.com.,28,1,
1720703414.393241,192.168.1.11,192.168.1.1,accounts.google.com.,1,1,
1720703414.39344,192.168.1.11,192.168.1.1,accounts.google.com.,65,1,
1720703414.397358,192.168.1.11,192.168.1.1,ogs.google.com.,28,1,
1720703414.397575,192.168.1.11,192.168.1.1,ogs.google.com.,1,1,
1720703414.397744,192.168.1.11,192.168.1.1,ogs.google.com.,65,1,
1720703414.406627,192.168.1.1,192.168.1.11,accounts.google.com.,28,1,
1720703414.40684,192.168.1.1,192.168.1.11,accounts.google.com.,1,1,
1720703414.415901,192.168.1.1,192.168.1.11,ogs.google.com.,28,1,
1720703414.415901,192.168.1.1,192.168.1.11,ogs.google.com.,1,1,
1720703414.415901,192.168.1.1,192.168.1.11,ogs.google.com.,65,1,
1720703414.43107,192.168.1.1,192.168.1.11,accounts.google.com.,65,1,
1720703414.431101,192.168.1.11,192.168.1.1,accounts.google.com.,65,1,
1720703416.756346,192.168.1.11,192.168.1.1,docs.google.com.,28,1,
1720703416.756684,192.168.1.11,192.168.1.1,docs.google.com.,1,1,
1720703416.756953,192.168.1.11,192.168.1.1,docs.google.com.,65,1,
1720703416.76791,192.168.1.1,192.168.1.11,docs.google.com.,28,1,
1720703416.768193,192.168.1.1,192.168.1.11,docs.google.com.,1,1,
1720703416.789103,192.168.1.1,192.168.1.11,docs.google.com.,65,1,
1720703416.789132,192.168.1.11,192.168.1.1,docs.google.com.,65,1,
1720703417.096615,192.168.1.11,192.168.1.1,clients4.google.com.,28,1,
1720703417.096824,192.168.1.11,192.168.1.1,clients4.google.com.,1,1,
1720703417.096967,192.168.1.11,192.168.1.1,clients4.google.com.,65,1,
1720703417.107795,192.168.1.1,192.168.1.11,clients4.google.com.,28,1,
1720703417.108033,192.168.1.1,192.168.1.11,clients4.google.com.,1,1,
1720703417.108522,192.168.1.1,192.168.1.11,clients4.google.com.,65,1,
1720703420.665112,192.168.1.11,192.168.1.1,win-extension.femetrics.grammarly.io.,28,1,
1720703420.696037,192.168.1.1,192.168.1.11,win-extension.femetrics.grammarly.io.,28,1,
1720703420.696068,192.168.1.11,192.168.1.1,win-extension.femetrics.grammarly.io.,28,1,
1720703463.586809,192.168.1.11,192.168.1.1,apis.google.com.,28,1,
1720703463.587244,192.168.1.11,192.168.1.1,apis.google.com.,1,1,
1720703463.587428,192.168.1.11,192.168.1.1,apis.google.com.,65,1,
1720703463.660063,192.168.1.1,192.168.1.11,apis.google.com.,28,1,
1720703463.660063,192.168.1.1,192.168.1.11,apis.google.com.,1,1,
1720703463.660063,192.168.1.1,192.168.1.11,apis.google.com.,65,1,
1720703468.230523,192.168.1.11,192.168.1.1,ssl.gstatic.com.,28,1,
1720703468.230763,192.168.1.11,192.168.1.1,ssl.gstatic.com.,1,1,
1720703468.230892,192.168.1.11,192.168.1.1,ssl.gstatic.com.,65,1,
1720703468.241686,192.168.1.1,192.168.1.11,ssl.gstatic.com.,28,1,
1720703468.241998,192.168.1.1,192.168.1.11,ssl.gstatic.com.,1,1,
1720703468.255485,192.168.1.1,192.168.1.11,ssl.gstatic.com.,65,1,
1720703468.255515,192.168.1.11,192.168.1.1,ssl.gstatic.com.,65,1,
1720703468.380734,192.168.1.11,192.168.1.1,google.com.,28,1,
1720703468.380999,192.168.1.11,192.168.1.1,google.com.,1,1,
1720703468.381192,192.168.1.11,192.168.1.1,google.com.,65,1,
1720703468.390492,192.168.1.1,192.168.1.11,google.com.,28,1,
1720703468.3906,192.168.1.1,192.168.1.11,google.com.,1,1,
1720703468.390852,192.168.1.1,192.168.1.11,google.com.,65,1,
1720703468.67288,192.168.1.11,192.168.1.1,e2c2.gcp.gvt2.com.,28,1,
1720703468.673002,192.168.1.11,192.168.1.1,e2c2.gcp.gvt2.com.,1,1,
1720703468.673103,192.168.1.11,192.168.1.1,e2c2.gcp.gvt2.com.,65,1,
1720703468.673859,192.168.1.11,192.168.1.1,clients2.google.com.,28,1,
1720703468.674003,192.168.1.11,192.168.1.1,clients2.google.com.,1,1,
1720703468.674112,192.168.1.11,192.168.1.1,clients2.google.com.,65,1,
1720703468.682864,192.168.1.1,192.168.1.11,e2c2.gcp.gvt2.com.,1,1,
1720703468.682926,192.168.1.1,192.168.1.11,clients2.google.com.,28,1,
1720703468.685652,192.168.1.1,192.168.1.11,clients2.google.com.,1,1,
1720703468.685652,192.168.1.1,192.168.1.11,clients2.google.com.,65,1,
1720703468.727545,192.168.1.1,192.168.1.11,e2c2.gcp.gvt2.com.,65,1,
1720703468.728772,192.168.1.1,192.168.1.11,e2c2.gcp.gvt2.com.,28,1,
1720703469.287259,192.168.1.11,192.168.1.1,beacons.gvt2.com.,28,1,
1720703469.287468,192.168.1.11,192.168.1.1,beacons.gvt2.com.,1,1,
1720703469.287597,192.168.1.11,192.168.1.1,beacons.gvt2.com.,65,1,
1720703469.297206,192.168.1.1,192.168.1.11,beacons.gvt2.com.,28,1,
1720703469.297276,192.168.1.1,192.168.1.11,beacons.gvt2.com.,1,1,
1720703469.311722,192.168.1.1,192.168.1.11,beacons.gvt2.com.,65,1,
1720703470.622441,192.168.1.11,192.168.1.1,colab.research.google.com.,28,1,
1720703470.622738,192.168.1.11,192.168.1.1,colab.research.google.com.,1,1,
1720703470.622888,192.168.1.11,192.168.1.1,colab.research.google.com.,65,1,
